micros,hx_x,hx_y,hx_z,hx_temp,hy_x,hy_y,hy_z,hy_temp
5022,-27407,-1608,2,3712,9091,-1646,8
5026,-27410,-1616,3,3706,9095,-1666,12
5018,-27397,-1607,3,3722,9103,-1640,10
5012,-27410,-1624,3,3706,9100,-1659,12
5024,-27396,-1593,1,3712,9088,-1651,11
5037,-27423,-1619,4,3689,9083,-1672,10
5021,-27414,-1613,2,3690,9094,-1651,10
5027,-27410,-1627,3,3714,9110,-1662,10
5021,-27402,-1626,2,3702,9092,-1642,10
5025,-27416,-1625,2,3700,9088,-1668,11
5053,-27408,-1622,3,3721,9089,-1642,9
5014,-27407,-1616,2,3719,9105,-1651,10
5022,-27414,-1633,3,3706,9106,-1684,9
5016,-27407,-1614,0,3700,9092,-1650,11
5010,-27413,-1618,2,3718,9116,-1674,10
5030,-27415,-1609,1,3707,9095,-1636,12
5018,-27406,-1617,1,3700,9095,-1647,10
5018,-27444,-1607,5,3722,9101,-1651,10
5015,-27446,-1628,3,3718,9095,-1649,10
5015,-27398,-1648,2,3692,9087,-1657,12
5023,-27420,-1634,2,3716,9101,-1657,11
5021,-27435,-1632,3,3711,9099,-1638,10
5024,-27403,-1618,1,3711,9101,-1646,10
5018,-27405,-1613,2,3717,9129,-1646,10
5020,-27410,-1628,3,3707,9111,-1665,9
5016,-27392,-1607,0,3700,9096,-1637,10
5033,-27412,-1611,2,3717,9083,-1644,9
5035,-27415,-1622,4,3715,9093,-1651,10
5033,-27415,-1626,4,3718,9106,-1655,10
5029,-27425,-1617,5,3714,9082,-1652,8
5029,-27423,-1628,4,3718,9089,-1651,9
5036,-27430,-1628,3,3696,9099,-1652,9
5026,-27418,-1610,3,3706,9105,-1640,10
5042,-27432,-1648,2,3716,9103,-1655,9
5026,-27414,-1609,2,3710,9095,-1678,9
5022,-27417,-1594,1,3704,9097,-1666,11
5010,-27403,-1630,2,3709,9089,-1664,10
5020,-27407,-1594,1,3700,9113,-1653,11
5042,-27438,-1623,3,3712,9091,-1670,10
5030,-27424,-1609,2,3715,9097,-1638,10
5016,-27411,-1610,1,3709,9104,-1645,11
5024,-27428,-1640,3,3702,9095,-1663,10
5016,-27421,-1614,2,3716,9095,-1647,10
5028,-27432,-1617,2,3717,9106,-1634,11
5022,-27438,-1613,3,3712,9095,-1666,10
5026,-27419,-1634,1,3716,9104,-1671,9
5034,-27424,-1622,2,3702,9086,-1675,11
5032,-27411,-1613,2,3694,9104,-1662,11
5036,-27417,-1631,1,3709,9103,-1647,10
5032,-27403,-1591,0,3708,9088,-1648,10
5028,-27422,-1606,3,3705,9095,-1663,10
5030,-27403,-1637,2,3728,9100,-1664,12
5024,-27415,-1608,2,3716,9096,-1661,10
5022,-27436,-1599,3,3711,9069,-1654,10
5006,-27412,-1620,3,3711,9096,-1667,12
5012,-27403,-1629,0,3692,9075,-1659,10
5034,-27418,-1626,2,3698,9077,-1647,10
5007,-27427,-1621,5,3715,9098,-1629,12
5037,-27410,-1608,2,3718,9089,-1662,9
5023,-27415,-1615,3,3704,9095,-1647,9
5022,-27413,-1609,1,3708,9085,-1647,10
5028,-27438,-1627,3,3718,9079,-1643,11
5018,-27411,-1617,2,3702,9095,-1650,12
5034,-27412,-1631,3,3716,9103,-1638,10
5024,-27392,-1610,2,3725,9091,-1659,10
5028,-27430,-1622,2,3710,9104,-1639,10
5030,-27426,-1630,3,3714,9106,-1652,11
5026,-27420,-1623,3,3710,9096,-1661,10
5030,-27416,-1620,3,3709,9101,-1648,8
5020,-27416,-1611,4,3696,9090,-1646,9
5016,-27428,-1631,2,3711,9087,-1638,11
5020,-27405,-1603,0,3700,9078,-1664,11
5036,-27409,-1611,1,3692,9100,-1642,11
5020,-27405,-1626,2,3698,9100,-1667,11
5018,-27428,-1621,3,3706,9092,-1658,10
5024,-27395,-1621,3,3705,9083,-1657,9
5014,-27422,-1605,3,3703,9102,-1649,12
5032,-27401,-1617,1,3710,9083,-1658,9
5034,-27408,-1601,3,3720,9097,-1668,10
5011,-27428,-1620,1,3706,9088,-1663,12
5027,-27416,-1627,3,3714,9093,-1666,11
5016,-27408,-1632,1,3706,9095,-1664,11
5029,-27420,-1596,2,3713,9106,-1653,11
5017,-27414,-1628,3,3696,9117,-1644,10
5015,-27412,-1617,1,3706,9089,-1665,9
5027,-27421,-1582,3,3708,9085,-1671,9
5033,-27416,-1623,3,3708,9087,-1651,9
5019,-27438,-1596,3,3706,9087,-1647,11
5015,-27422,-1622,2,3713,9090,-1659,11
5027,-27408,-1611,2,3714,9089,-1626,10
5009,-27425,-1612,3,3712,9088,-1657,9
5025,-27423,-1596,4,3720,9097,-1658,11
5023,-27413,-1625,3,3704,9101,-1661,10
5020,-27420,-1623,0,3717,9092,-1671,12
5019,-27426,-1597,2,3695,9095,-1649,10
5023,-27414,-1608,3,3716,9097,-1645,12
5035,-27418,-1602,2,3708,9097,-1663,10
5015,-27416,-1617,2,3717,9098,-1636,11
5015,-27394,-1594,1,3715,9096,-1640,12
5027,-27418,-1600,2,3699,9088,-1657,12
5031,-27438,-1596,3,3720,9099,-1653,9
5013,-27410,-1599,2,3717,9090,-1648,12
5019,-27428,-1613,3,3714,9078,-1651,10
5024,-27404,-1613,0,3708,9105,-1630,9
5035,-27404,-1629,2,3714,9095,-1672,9
5021,-27398,-1612,3,3700,9103,-1666,11
5009,-27428,-1621,1,3701,9096,-1652,13
5015,-27419,-1625,3,3716,9103,-1655,11
5023,-27412,-1630,4,3719,9100,-1665,11
5024,-27383,-1617,2,3714,9089,-1650,9
5004,-27412,-1597,2,3708,9103,-1664,9
5024,-27424,-1627,2,3704,9099,-1667,9
5016,-27393,-1609,2,3698,9101,-1667,11
5037,-27412,-1613,1,3708,9098,-1671,7
5029,-27432,-1600,2,3704,9095,-1654,9
5021,-27408,-1635,3,3694,9099,-1657,10
5019,-27421,-1611,1,3708,9117,-1653,9
5022,-27414,-1632,2,3701,9110,-1660,10
5018,-27418,-1620,3,3701,9102,-1637,12
5023,-27406,-1624,1,3709,9096,-1667,13
5032,-27418,-1615,2,3714,9096,-1641,11
5035,-27413,-1629,4,3704,9106,-1647,11
5019,-27406,-1616,3,3705,9091,-1648,8
5027,-27423,-1622,3,3698,9099,-1658,10
5031,-27418,-1617,2,3716,9095,-1667,11
5035,-27414,-1607,3,3706,9099,-1633,11
5025,-27422,-1623,1,3714,9086,-1661,9
5014,-27386,-1622,0,3714,9107,-1659,11
