hx_x,hx_y,hx_z,hx_temp,hy_x,hy_y,hy_z,hy_temp
744,32767,-20559,6,-5054,-32768,-2932,8
-4854,32767,-27711,7,-2851,-32768,5796,8
-8690,32229,-32768,6,374,-31515,17837,7
-13470,28439,-32768,6,3653,-26090,30379,4
-16117,22009,-32768,7,5083,-10959,32767,8
-16294,17378,-32768,7,-896,5200,32767,7
-15722,13623,-32768,6,-8828,14887,32767,7
-16140,16467,-32768,5,-9550,15295,32767,7
-16148,21996,-32768,4,-10813,16047,32767,7
-12689,29899,-32768,6,-12264,16550,32767,7
-7555,32767,-29662,8,-14027,17088,32767,7
-2521,32767,-23614,6,-16542,17320,32767,8
3849,32767,-14556,6,-18258,17322,32767,8
5655,32767,-12407,7,-18578,17322,32767,6
5811,32767,-11820,5,-18470,17314,32767,6
8756,32767,-7097,6,-18220,17336,32767,9
15543,31315,5894,7,-17070,17360,32767,8
15219,12760,25343,6,-13278,16855,32767,8
-11995,-10371,32767,7,-8910,14744,32767,9
-32768,-17288,32767,7,-4970,9034,32767,7
-32768,-14427,32767,7,1555,548,32767,4
-32768,-12435,32767,8,5101,-17378,32767,7
-32768,-10048,32767,8,1652,-30315,19389,7
-32768,-6835,32767,5,-3634,-32768,-3207,7
-32768,-5492,32767,7,-3129,-31931,-19365,7
-32768,-8013,32767,6,11011,-19184,-32722,7
-32768,-10005,32767,6,31527,-1582,-32768,6
-32768,-13166,32767,7,32767,5001,-32768,7
-32768,-16163,32767,6,32767,1936,-27627,9
-25470,-15756,32767,5,32767,863,-19682,10
1955,1667,31465,7,32700,122,-13180,8
17669,25667,11688,8,31611,-858,-7401,8
10050,32767,-8665,5,30393,-1789,-5420,7
3379,32767,-16281,5,30275,-1837,-5388,7
-5153,32767,-28434,6,30862,-1394,-6232,7
-12133,29774,-32768,5,31787,-627,-9473,7
-16485,20330,-32768,5,32669,190,-14789,6
-14053,9027,-32768,5,32767,728,-18956,7
-4262,1662,-32768,8,32767,1359,-23639,8
-351,-1980,-32768,6,32767,3373,-32768,9
2565,-4123,-32768,6,32767,5414,-32768,5
11255,-5870,-32768,7,24244,-11364,-32768,8
21805,-5683,-24487,7,-4406,-32691,-9526,6
14268,-5955,-32768,6,-677,-32389,18888,7
3872,-4292,-32768,6,5021,-17946,32767,7
-3687,1601,-32768,6,-5459,10123,32767,7
-15347,12898,-32768,5,-8189,13845,32767,5
-15490,24072,-32768,6,-11354,16251,32767,7
-7841,32767,-28661,6,-14850,17184,32767,7
4469,32767,-11987,5,-18666,17274,32767,7
7852,32767,-8678,5,-17761,17348,32767,8
10954,32767,-3585,7,-17407,17352,32767,8
15354,30954,6691,7,-16495,17332,32767,5
16161,18445,23576,5,-13596,16667,32767,8
-8032,-7637,32767,7,-9552,15239,32767,7
-31159,-17407,32767,8,-6428,11523,32767,7
-32768,-15329,32767,8,-1957,4583,32767,7
-32768,-13366,32767,9,4889,-11822,32767,7
-32768,-10068,32767,7,1676,-30266,19299,8
-32768,-6393,32767,4,-5441,-32768,-11645,6
-32768,-7440,32767,6,5808,-24615,-29776,6
-32768,-10469,32767,5,29230,-3645,-32768,8
-32768,-12868,32767,7,32767,5460,-32768,9
-32768,-15727,32767,7,32767,1665,-26044,6
-31777,-17227,32767,4,32767,1176,-21987,5
-4390,-4708,32767,5,32638,56,-13531,7
17148,22702,16654,6,31430,-1025,-7053,6
9479,32767,-7471,7,30415,-1868,-5404,6
-3353,32767,-26310,5,30511,-1678,-5524,10
-11997,30395,-32768,7,31661,-737,-9715,7
-15643,12756,-32768,6,32767,486,-17748,7
-5139,2496,-32768,5,32767,1309,-24030,7
-1693,-829,-32768,8,32767,2512,-32234,5
164,-2641,-32768,6,32767,4099,-32768,8
5918,-5088,-32768,5,32767,4700,-32768,6
16555,-5998,-31813,5,14753,-16382,-31294,7
19929,-5877,-28130,5,-5166,-32768,-3806,7
11869,-5843,-32768,5,1599,-28449,27299,8
1537,-3010,-32768,7,742,4901,32767,8
-8590,5218,-32768,6,-6714,12026,32767,9
-16158,17371,-32768,6,-8796,14787,32767,7
-11458,31081,-32768,7,-12331,16612,32767,6
174,32767,-19282,8,-16344,17319,32767,8
6556,32767,-10502,7,-18323,17323,32767,8
7976,32767,-8540,8,-17752,17333,32767,8
10280,32767,-3878,6,-17520,17369,32767,7
15316,31477,6774,5,-15943,17275,32767,6
15558,17235,22548,8,-12169,16499,32767,10
-10877,-9622,32767,7,-7960,13876,32767,6
-32768,-16146,32767,5,-6030,10870,32767,7
-32768,-14423,32767,6,312,2210,32767,7
-32768,-11694,32767,8,5029,-18736,32767,6
-32768,-8946,32767,6,-201,-32276,12328,7
-32768,-6224,32767,7,-4378,-32346,-16856,7
-32768,-8112,32767,7,18063,-12303,-32768,6
-32768,-12286,32767,5,32767,5490,-32768,7
-32768,-15919,32767,6,32767,1799,-26285,8
-20103,-12745,32767,5,32767,973,-19226,7
16084,19667,19098,6,32069,-479,-8874,7
13437,32767,-4100,6,30331,-1828,-5414,5
-1340,32767,-25423,5,30609,-1601,-5806,9
-14239,27270,-32768,7,32275,-201,-12263,7
-11820,6929,-32768,4,32767,1335,-23794,7
-1956,-509,-32768,5,32767,2335,-30587,7
-2022,-445,-32768,5,32767,2245,-29944,7
-1933,-567,-32768,5,32767,2363,-30976,7
-295,-1951,-32768,6,32767,4198,-32768,7
5338,-4896,-32768,7,32767,2780,-32768,7
16420,-6004,-31371,5,11313,-23412,-26116,6
19362,-5919,-30524,5,-5448,-32768,-3621,6
9811,-5635,-32768,6,1508,-30061,23450,8
-27,-1973,-32768,7,2793,-347,32767,8
-6260,4937,-32768,6,-6768,12132,32767,8
-16228,18217,-32768,5,-10316,15922,32767,7
-12023,30545,-32768,6,-12727,16721,32767,7
-5505,32767,-27721,6,-14164,17038,32767,6
-1581,32767,-22008,6,-13342,16855,32767,7
628,32767,-19244,4,-12327,16583,32767,7
1875,32767,-17749,5,-10257,15805,32767,7
2251,32767,-17273,5,-8043,13564,32767,6
2480,32767,-16352,7,-3754,6412,32767,7
7237,32767,-5165,8,10411,-17929,-32768,7
11027,32767,-3836,7,7597,-24581,-23392,5
6924,32767,-9527,6,-3564,-32768,-2518,5
8100,32767,-8543,6,-5338,-32768,-5566,6
8178,32767,-7898,6,-4116,-32384,-14327,8
8224,32767,-7911,7,-4955,-32768,-12422,6
8210,32767,-7942,6,-5049,-32768,-12100,7
8211,32767,-7927,7,-5064,-32768,-12086,8
8223,32767,-7920,8,-5052,-32768,-12061,6
8204,32767,-7914,7,-5056,-32768,-12054,6
8224,32767,-8185,6,-5051,-32768,-12079,7
8216,32767,-7914,6,-5048,-32768,-12056,7
8220,32767,-7909,7,-5006,-32768,-12471,7
8328,32767,-7718,6,-4051,-32215,-15084,7
7770,32767,-8862,6,-3426,-32015,-16070,8
6596,32767,-10853,7,-3199,-32154,-16355,7
4012,32767,-14697,6,-2244,-31873,-17565,7
198,32767,-20290,5,-911,-31124,-18993,6
-3200,32767,-25620,7,-81,-30507,-20075,5
-5897,32767,-28878,7,504,-30115,-20710,7
-9215,32269,-32768,7,598,-30027,-20733,6
-12313,30099,-32768,6,-93,-30461,-19917,7
-14775,25221,-32768,5,-2030,-31516,-17064,4
-16328,20115,-32768,7,-4499,-32749,-12455,6
-15873,14527,-32768,6,-5127,-32768,-3090,8
-12976,8115,-32768,6,-1945,-32768,11548,6
-9540,5222,-32768,6,2972,-27776,30185,7
-6310,3608,-32768,6,3887,-3522,32767,6
-7267,4321,-32768,6,-6964,12376,32767,6
-15617,14264,-32768,6,-8960,14902,32767,7
-14059,29582,-32768,6,-12412,16638,32767,7
-2023,32767,-22250,7,-15668,17268,32767,7
7958,32767,-8330,6,-18282,17324,32767,9
11915,32767,-623,7,-17019,17355,32767,8
17023,29971,10575,6,-16077,17318,32767,9
16736,19575,20671,9,-13030,16789,32767,9
74,-4990,32767,8,-9544,14981,32767,7
-32768,-17404,32767,7,-6386,11461,32767,9
-32768,-15684,32767,7,-4051,7356,32767,7
-32768,-14480,32767,7,-443,3067,32767,7
-32768,-12111,32767,6,4963,-15383,32767,6
-32768,-8975,32767,7,1864,-30917,17419,8
-32768,-5699,32767,7,-5269,-32768,-12327,6
-32768,-6947,32767,7,8530,-21378,-32498,6
-32768,-10311,32767,8,32767,124,-32768,8
-32768,-13830,32767,6,32767,4062,-32768,6
-32768,-16456,32767,7,32767,1993,-28055,6
-26762,-15379,32767,8,32767,1111,-21585,7
460,-2047,32767,8,32767,234,-14065,8
14767,17150,21303,7,31856,-945,-8204,7
14549,32191,2020,7,30642,-1606,-5457,7
6415,32767,-11929,8,30054,-1997,-5382,6
1617,32767,-19579,7,30309,-1821,-5398,8
-4626,32767,-27308,4,30619,-1572,-5581,6
-9906,32155,-32768,7,31242,-1106,-6911,6
-14299,27065,-32768,6,31677,-765,-8491,8
